w,cs
180,0.067
196,0.088
214,0.117
236,0.155
264,0.206
298,0.283
343,0.414
404,0.703
491,1.24
500,1.5
626,2.33
1000,3.3
1210,5.43
1250,5.431
1390,5.91
1500,6.512
1500,5.7
1640,7.29
1750,7.918
2000,9.453
2000,9.51
2000,8.5
2250,11.08
2500,12.75
2500,11.7
2570,13.1
2750,14.46
3000,16.19
3000,15.2
3250,17.92
3500,19.65
3500,18.9
3580,19.8
3750,21.35
4000,23.02
4000,22.3
4250,24.65
4500,26.24
4500,25.5
4750,27.77
5000,29.23
5000,28.4
5250,30.62
5280,30.2
5500,31.94
5500,31.1
5750,33.17
5890,33.1
6000,34.32
6000,33.5
6250,35.37
6500,35.6
6760,37.6
7000,37.1
7500,38.3
7940,39.5
8000,39.2
8500,39.5
9000,39.3
9500,38.5
9620,39.8
10000,37.3
10500,35.8
11000,33.8
11500,31.4
11750,30.34
12000,28.87
12000,28.5
12190,28.00 
12250,27.33
12500,25.71
12500,25.4
12750,24.02
13000,22.26
13000,22
13250,20.46
13500,18.62
13500,18.3
13750,16.74
14000,14.85
14000,14.6
14250,12.95
14500,11.07
14500,10.6
14750,9.211
15000,7.407
15000,7.1
15250,5.677
15500,4.052
15500,4
15750,2.575
16000,1.302
16000,1.7
16100,0.8697
16200,0.4974
16300,0.1989
16419,0
